symbol,phase
Mcm5,S
Pcna,S
Tyms,S
Fen1,S
Mcm2,S
Mcm4,S
Rrm1,S
Ung,S
Gins2,S
Mcm6,S
Cdca7,S
Dtl,S
Prim1,S
Uhrf1,S
Cenpu,S
Hells,S
Rfc2,S
Rpa2,S
Nasp,S
Rad51ap1,S
Gmnn,S
Wdr76,S
Slbp,S
Ccne2,S
Ubr7,S
Pold3,S
Msh2,S
Atad2,S
Rad51,S
Rrm2,S
Cdc45,S
Cdc6,S
Exo1,S
Tipin,S
Dscc1,S
Blm,S
Casp8ap2,S
Usp1,S
Clspn,S
Pola1,S
Chaf1b,S
Brip1,S
E2f8,S
Hmgb2,G2/M
Cdk1,G2/M
Nusap1,G2/M
Ube2c,G2/M
Birc5,G2/M
Tpx2,G2/M
Top2a,G2/M
Ndc80,G2/M
Cks2,G2/M
Nuf2,G2/M
Cks1b,G2/M
Mki67,G2/M
Tmpo,G2/M
Cenpf,G2/M
Tacc3,G2/M
Fam64a,G2/M
Smc4,G2/M
Ccnb2,G2/M
Ckap2l,G2/M
Ckap2,G2/M
Aurkb,G2/M
Bub1,G2/M
Kif11,G2/M
Anp32e,G2/M
Tubb4b,G2/M
Gtse1,G2/M
Kif20b,G2/M
Hjurp,G2/M
Cdca3,G2/M
Hn1,G2/M
Cdc20,G2/M
Ttk,G2/M
Cdc25c,G2/M
Kif2c,G2/M
Rangap1,G2/M
Ncapd2,G2/M
Dlgap5,G2/M
Cdca2,G2/M
Cdca8,G2/M
Ect2,G2/M
Kif23,G2/M
Hmmr,G2/M
Aurka,G2/M
Psrc1,G2/M
Anln,G2/M
Lbr,G2/M
Ckap5,G2/M
Cenpe,G2/M
Ctcf,G2/M
Nek2,G2/M
G2e3,G2/M
Gas2l3,G2/M
Cbx5,G2/M
Cenpa,G2/M
