ENSG00000008988	RPS20
ENSG00000034510	TMSB10
ENSG00000063177	RPL18
ENSG00000071082	RPL31
ENSG00000081051	AFP
ENSG00000083845	RPS5
ENSG00000084207	GSTP1
ENSG00000087086	FTL
ENSG00000089009	RPL6
ENSG00000089157	RPLP0
ENSG00000100316	RPL3
ENSG00000105193	RPS16
ENSG00000105372	RPS19
ENSG00000105640	RPL18A
ENSG00000108107	RPL28
ENSG00000108298	RPL19
ENSG00000109475	RPL34
ENSG00000110700	RPS13
ENSG00000111640	GAPDH
ENSG00000112306	RPS12
ENSG00000114391	RPL24
ENSG00000115268	RPS15
ENSG00000116251	RPL22
ENSG00000118181	RPS25
ENSG00000118271	TTR
ENSG00000122026	RPL21
ENSG00000122406	RPL5
ENSG00000125691	RPL23
ENSG00000130255	RPL36
ENSG00000131469	RPL27
ENSG00000133112	TPT1
ENSG00000134419	RPS15A
ENSG00000136942	RPL35
ENSG00000137154	RPS6
ENSG00000137818	RPLP1
ENSG00000138326	RPS24
ENSG00000140988	RPS2
ENSG00000142534	RPS11
ENSG00000142541	RPL13A
ENSG00000142676	RPL11
ENSG00000142937	RPS8
ENSG00000143947	RPS27A
ENSG00000144713	RPL32
ENSG00000145425	RPS3A
ENSG00000145592	RPL37
ENSG00000147403	RPL10
ENSG00000147604	RPL7
ENSG00000148303	RPL7A
ENSG00000149273	RPS3
ENSG00000156482	RPL30
ENSG00000156508	EEF1A1
ENSG00000158874	APOA2
ENSG00000161016	RPL8
ENSG00000161970	RPL26
ENSG00000162244	RPL29
ENSG00000163631	ALB
ENSG00000163682	RPL9
ENSG00000164587	RPS14
ENSG00000166441	RPL27A
ENSG00000167244	IGF2
ENSG00000167526	RPL13
ENSG00000167996	FTH1
ENSG00000168028	RPSA
ENSG00000170889	RPS9
ENSG00000171858	RPS21
ENSG00000171863	RPS7
ENSG00000172809	RPL38
ENSG00000174444	RPL4
ENSG00000174748	RPL15
ENSG00000177600	RPLP2
ENSG00000177954	RPS27
ENSG00000182899	RPL35A
ENSG00000184009	ACTG1
ENSG00000186468	RPS23
ENSG00000187514	PTMA
ENSG00000188846	RPL14
ENSG00000197249	SERPINA1
ENSG00000197756	RPL37A
ENSG00000197958	RPL12
ENSG00000198034	RPS4X
ENSG00000198242	RPL23A
ENSG00000198712	MT-CO2
ENSG00000198727	MT-CYB
ENSG00000198755	RPL10A
ENSG00000198763	MT-ND2
ENSG00000198804	MT-CO1
ENSG00000198840	MT-ND3
ENSG00000198886	MT-ND4
ENSG00000198888	MT-ND1
ENSG00000198899	MT-ATP6
ENSG00000198918	RPL39
ENSG00000198938	MT-CO3
ENSG00000204628	GNB2L1
ENSG00000205542	TMSB4X
ENSG00000213741	RPS29
ENSG00000221983	UBA52
ENSG00000229117	RPL41
ENSG00000231500	RPS18
ENSG00000233927	RPS28
ENSG00000251562	MALAT1
