ensgene	symbol
ENSG00000005022	SLC25A5
ENSG00000008018	PSMB1
ENSG00000008394	MGST1
ENSG00000008988	RPS20
ENSG00000026025	VIM
ENSG00000029993	HMGB3
ENSG00000034510	TMSB10
ENSG00000042753	AP2S1
ENSG00000051523	CYBA
ENSG00000054148	PHPT1
ENSG00000063177	RPL18
ENSG00000065518	NDUFB4
ENSG00000065978	YBX1
ENSG00000067225	PKM
ENSG00000067560	RHOA
ENSG00000069275	NUCKS1
ENSG00000070756	PABPC1
ENSG00000071082	RPL31
ENSG00000074800	ENO1
ENSG00000074842	C19orf10
ENSG00000075415	SLC25A3
ENSG00000075624	ACTB
ENSG00000080824	HSP90AA1
ENSG00000081051	AFP
ENSG00000083845	RPS5
ENSG00000084207	GSTP1
ENSG00000084234	APLP2
ENSG00000084623	EIF3I
ENSG00000086598	TMED2
ENSG00000087086	FTL
ENSG00000087302	C14orf166
ENSG00000087460	GNAS
ENSG00000088986	DYNLL1
ENSG00000089009	RPL6
ENSG00000089157	RPLP0
ENSG00000089220	PEBP1
ENSG00000089248	ERP29
ENSG00000090266	NDUFB2
ENSG00000092199	HNRNPC
ENSG00000092841	MYL6
ENSG00000096384	HSP90AB1
ENSG00000099622	CIRBP
ENSG00000099624	ATP5D
ENSG00000099795	NDUFB7
ENSG00000099800	TIMM13
ENSG00000099901	RANBP1
ENSG00000099977	DDT
ENSG00000100129	EIF3L
ENSG00000100138	NHP2L1
ENSG00000100316	RPL3
ENSG00000100380	ST13
ENSG00000100387	RBX1
ENSG00000100632	ERH
ENSG00000100664	EIF5
ENSG00000100804	PSMB5
ENSG00000101182	PSMA7
ENSG00000101439	CST3
ENSG00000101443	WFDC2
ENSG00000101608	MYL12A
ENSG00000102144	PGK1
ENSG00000102317	RBM3
ENSG00000103363	TCEB2
ENSG00000104408	EIF3E
ENSG00000104529	EEF1D
ENSG00000104904	OAZ1
ENSG00000104979	C19orf53
ENSG00000105185	PDCD5
ENSG00000105193	RPS16
ENSG00000105223	PLD3
ENSG00000105372	RPS19
